0,45,90,135,180,label
-64,-62,-56,-55,-62,0
-64,-65,-61,-61,-62,0
-62,-67,-55,-52,-53,0
-57,-60,-60,-56,-60,0
-70,-69,-63,-65,-70,0
-63,-70,-68,-60,-55,0
-51,-52,-57,-55,-52,0
-62,-68,-62,-58,-59,0
-63,-67,-64,-63,-74,0
-45,-48,-45,-45,-48,0
-66,-77,-61,-57,-63,0
-49,-60,-52,-48,-48,0
-57,-66,-59,-54,-62,0
-71,-49,-49,-60,-51,0
-63,-51,-53,-64,-57,0
-62,-67,-55,-52,-53,0
-61,-59,-55,-55,-59,0
-55,-56,-64,-64,-64,0
-62,-64,-70,-61,-58,0
-68,-65,-61,-55,-57,0
-49,-60,-52,-48,-48,0
-49,-60,-52,-48,-48,0
-63,-63,-65,-60,-59,0
-61,-61,-64,-63,-61,0
-69,-66,-64,-64,-71,0
-62,-68,-62,-58,-59,0
-47,-45,-43,-46,-52,0
-66,-66,-59,-59,-58,0
-68,-65,-61,-55,-57,0
-71,-66,-67,-64,-63,0
-51,-52,-57,-55,-52,0
-61,-64,-58,-57,-60,0
-63,-63,-65,-60,-59,0
-53,-55,-51,-56,-64,0
-64,-65,-61,-61,-62,0
-61,-61,-64,-63,-61,0
-69,-66,-64,-64,-71,0
-71,-49,-49,-60,-51,0
-64,-65,-61,-61,-62,0
-52,-54,-51,-55,-57,0
-68,-65,-61,-55,-57,0
-62,-63,-63,-64,-62,0
-71,-49,-49,-60,-51,0
-63,-67,-64,-63,-74,0
-58,-56,-56,-58,-61,0
-68,-65,-61,-55,-57,0
-66,-64,-64,-63,-69,0
-51,-52,-57,-55,-52,0
-53,-55,-51,-56,-64,0
-49,-60,-52,-48,-48,0
-58,-56,-56,-58,-61,0
-55,-56,-64,-64,-64,0
-52,-51,-60,-61,-57,0
-63,-70,-68,-60,-55,0
-66,-77,-61,-57,-63,0
-46,-51,-46,-45,-46,0
-63,-67,-64,-63,-74,0
-61,-61,-64,-63,-61,0
-62,-63,-63,-64,-62,0
-63,-67,-64,-63,-74,0
-69,-66,-64,-64,-71,0
-62,-64,-70,-61,-58,0
-57,-60,-60,-56,-60,0
-68,-65,-61,-55,-57,0
-61,-61,-64,-63,-61,0
-51,-52,-55,-57,-63,0
-63,-51,-53,-64,-57,0
-50,-49,-50,-52,-52,0
-45,-48,-45,-45,-48,0
-70,-69,-63,-65,-70,0
-66,-77,-61,-57,-63,0
-64,-62,-56,-55,-62,0
-64,-62,-56,-55,-62,0
-63,-67,-64,-63,-74,0
-61,-61,-64,-63,-61,0
-62,-64,-70,-61,-58,0
-57,-66,-59,-54,-62,0
-55,-56,-64,-64,-64,0
-62,-67,-55,-52,-53,0
-61,-59,-55,-55,-59,0
-62,-64,-70,-61,-58,0
